IRI,label,original_definition,enriched_definition,modified
https://www.commoncoreontologies.org/FacilityOntology,Facility Ontology,This ontology is designed to represent buildings and campuses that  are designed to serve some specific purpose and which are common to multiple domains.,"An ontology is a formal specification of concepts and relationships that represents buildings, campuses, and other constructed environments that are designed to serve specific purposes and which are common across multiple domains of application.",True
https://www.commoncoreontologies.org/ont00000782,Factory,A Facility that is designed for manufacturing or refining material products.,A Facility that is designed to house processes and equipment for the manufacturing or refining of material products.,True
https://www.commoncoreontologies.org/ont00001380,Farm,An Agricultural Facility that is designed to produce food and other crops.,"An Agricultural Facility that is designed to produce crops, livestock, or other agricultural products through the cultivation of land and the raising of animals.",True
https://www.commoncoreontologies.org/ont00001295,Financial Facility,A Facility that is designed to support the management of money.,"A Facility that is designed to support the management, storage, transfer, or exchange of monetary assets and financial instruments.",True
https://www.commoncoreontologies.org/ont00001383,Fire Station,A Public Safety Facility that is designed for the storage of firefighting apparatus.,"A Public Safety Facility that is designed to house firefighting apparatus and equipment, and serves as a base of operations for firefighting personnel.",True
https://www.commoncoreontologies.org/ont00001091,Fort,A Military Facility that is designed to support the defense of or solidification of rule over some Geospatial Region and its inhabitants.,A Military Facility that is designed to house military personnel and equipment for the purpose of defending a specified Geospatial Region or establishing military control over that region and its population.,True
https://www.commoncoreontologies.org/ont00000737,Forward Operations Base,"A Military Base that is located relatively close to an offensive Area of Operations, is supported by the Base of Operations, and is designed to support local strategic objectives and tactical operations.","A Military Base that is positioned in proximity to an Area of Operations to support offensive military activities, receives logistical and operational support from a primary Base of Operations, and is specifically designed to enable the execution of local strategic objectives and tactical military operations.",True
https://www.commoncoreontologies.org/ont00000717,Fossil Fuel Power Plant,"An Electric Power Station that is designed to convert fossil fuels (e.g. coal, natural gas, or petroleum) into electrical energy.","A power plant that is designed to convert fossil fuels such as coal, natural gas, or petroleum into electrical energy through combustion processes.",True
https://www.commoncoreontologies.org/ont00001362,Gas Processing Facility,A Refinery that is designed for refining natural gas into products of value.,"A Refinery that is designed to process natural gas by separating, purifying, and converting it into commercially valuable products such as methane, ethane, propane, butane, and natural gas liquids.",True
https://www.commoncoreontologies.org/ont00000946,Government Building,A Facility that is designed for the administration of a community.,A Facility that is designed to bear the function of housing governmental administrative activities and operations of a political or administrative community.,True
https://www.commoncoreontologies.org/ont00000040,Grocery Store,A Commercial Facility that is designed to sell food.,A Commercial Facility that is designed to sell food and household goods primarily to individual consumers for personal consumption.,True
https://www.commoncoreontologies.org/ont00000055,Healthcare Facility,"A Facility that is designed for the diagnosis, treatment, and prevention of disease.","A Facility that is designed to support the diagnosis, treatment, and prevention of disease in humans.",True
https://www.commoncoreontologies.org/ont00000195,Heliport,"An Airport that is designed for launching, receiving, and housing Rotorcraft.","An Airport that is designed to accommodate the takeoff, landing, and storage of rotorcraft.",True
https://www.commoncoreontologies.org/ont00001098,Hospital,A Healthcare Facility that is designed to provide patient treatment with specialized staff and equipment.,"A healthcare facility that is designed to provide comprehensive medical treatment to patients through the use of specialized medical staff and equipment for diagnosis, treatment, and care of illness and injury.",True
https://www.commoncoreontologies.org/ont00000041,Hostel,A Residential Facility that is designed to temporarily lodge guests in a sociable environment for relatively low costs.,A Residential Facility that is designed to provide temporary lodging accommodations to guests at relatively low cost and typically features shared common areas and sleeping quarters to facilitate social interaction among occupants.,True
https://www.commoncoreontologies.org/ont00000180,Hotel,A Residential Facility that is designed to provide lodging that is paid for on a short-term basis.,"A Residential Facility that is designed to provide temporary lodging accommodations to paying guests on a short-term basis and typically offers additional services such as food service, housekeeping, and concierge services.",True
https://www.commoncoreontologies.org/ont00000331,House,"A Residential Facility that is designed to provide a self-standing, permanent residence for an individual, family, household, multiple families, or similar-sized group.","A Residential Facility that is designed to provide a self-standing, permanent residence for one or more persons and that is typically characterized by having separate entrances, private living spaces, and independent utility systems.",True
https://www.commoncoreontologies.org/ont00000846,Hydroelectric Power Plant,An Electric Power Station that is designed to convert hydropower into electrical power.,An electric power station that is designed to convert the kinetic energy of flowing or falling water into electrical energy through the use of turbines and generators.,True
https://www.commoncoreontologies.org/ont00001107,Landfill,A Waste Management Facility that is designed for disposing of waste by burial.,A Waste Management Facility that is designed to dispose of solid waste materials by burial in excavated areas of land and subsequent covering with soil or other materials.,True
https://www.commoncoreontologies.org/ont00000655,Mailing Facility,A Facility that is designed for the systematic physical transportation of documents and packages.,"A Facility that is designed to enable the systematic physical transportation and processing of postal items including letters, packages, and other mail materials.",True
https://www.commoncoreontologies.org/ont00001287,Maintenance Facility,A Facility that is designed to be used to perform actions to maintain or improve the state of some property or equipment.,"A Facility that is designed to support the performance of acts of artifact maintenance on equipment, vehicles, or other material artifacts.",True
https://www.commoncoreontologies.org/ont00000680,Medical Depot,A Storage Facility that is designed to store medical supplies.,"A Storage Facility that is designed to store medical supplies, pharmaceuticals, and healthcare equipment for distribution to healthcare facilities or emergency response operations.",True
https://www.commoncoreontologies.org/ont00000483,Military Base,A Military Facility that is designed to shelter military equipment and personnel and to facilitate training and operations.,A military facility that is designed to provide shelter for military equipment and personnel and to support military training activities and operational missions.,True
https://www.commoncoreontologies.org/ont00001052,Military Facility,A Facility that is designed to support a Military Force.,"A Facility that is designed to house, train, or otherwise support the operations of a Military Organization.",True
https://www.commoncoreontologies.org/ont00001297,Military Headquarters Facility,A Military Facility that is designed for military administration and coordination.,"A military facility that is designed to house the administrative and operational command functions of a military organization and serves as the primary location from which military leaders direct, coordinate, and control military operations and activities.",True
https://www.commoncoreontologies.org/ont00000639,Mine,"A Facility that is designed to support the extraction of minerals or other geological materials from an orebody, lode, vein, seam, reef, or placer deposit within the earth.","A Facility that is designed to support the extraction of minerals or other geological materials from an ore body, lode, vein, seam, reef, or placer deposit located within the Earth.",True
https://www.commoncoreontologies.org/ont00000432,Missile Launch Site,A Military Facility that is designed for storing and launching missiles.,A military facility that is designed to store missiles and has the capability to launch missiles from its location.,True
https://www.commoncoreontologies.org/ont00000510,Mosque,A Religious Facility that is designed for Islamic worship and prayer.,A religious facility that is designed to enable Islamic worship and prayer.,True
https://www.commoncoreontologies.org/ont00000583,Motel,A Hotel that is designed to accommodate motor vehicles along with their occupants.,"A hotel that is designed to accommodate motor vehicles and their occupants, typically featuring rooms with direct exterior access and parking spaces adjacent to guest accommodations.",True
https://www.commoncoreontologies.org/ont00000423,Motor Vehicle Manufacturing Facility,A Factory that is designed to manufacture automobiles.,"A manufacturing facility that is designed to produce motor vehicles such as automobiles, trucks, buses, and motorcycles.",True
https://www.commoncoreontologies.org/ont00000421,Nuclear Power Plant,"A Thermal Power Plant that is designed to produce heat by means of a nuclear reactor, which is then converted to electrical energy.",A Thermal Power Plant that is designed to generate thermal energy by means of controlled nuclear fission reactions within a nuclear reactor and convert that thermal energy into electrical energy.,True
https://www.commoncoreontologies.org/ont00001257,Nuclear Storage Depot,A Storage Facility that is designed to store nuclear material.,"A storage facility that is designed to store nuclear materials such as enriched uranium, plutonium, radioactive waste, or other fissile and radioactive substances.",True
https://www.commoncoreontologies.org/ont00000468,Office Building,"A Commercial Facility that is designed as an environment for conducting commercial, professional, or bureaucratic work.","A Commercial Facility that is designed to provide an environment for conducting office-based commercial, professional, or bureaucratic work activities.",True
https://www.commoncoreontologies.org/ont00000192,ont00000192,,"I cannot provide a definition without knowing the entity label or having access to the specific ontology term ont00000192. To create a proper CCO-compliant definition, I would need either the entity label/name or additional context about what this entity represents.",True
https://www.commoncoreontologies.org/ont00000060,Open Pit Mine,A Mine that is designed to support the extraction of materials from the ground directly without using tunnels.,A mine that is designed to support the extraction of materials from the earth's surface through direct excavation of an open excavation rather than through underground tunnels or shafts.,True
https://www.commoncoreontologies.org/ont00001089,Petrochemical Refinery,"A Refinery that is designed for refining crude oil, intermediate petroleum products, or synthetic petroleum into products of value.","A refinery that is designed to process crude oil, intermediate petroleum products, or synthetic petroleum through chemical and physical separation processes to produce refined petroleum products such as gasoline, diesel fuel, heating oil, and petrochemical feedstocks.",True
https://www.commoncoreontologies.org/ont00000045,Petroleum Depot,"A Storage Facility that is designed to store petroleum, oil, or lubricants.","A Storage Facility that is designed to store petroleum, oil, and lubricants.",True
https://www.commoncoreontologies.org/ont00000245,Petroleum Manufacturing Facility,A Factory that is designed to manufacture petroleum-based products.,"A manufacturing facility that is designed to process crude oil and other petroleum feedstocks into refined petroleum products such as gasoline, diesel fuel, heating oil, and petrochemicals.",True
https://www.commoncoreontologies.org/ont00000761,Pier,A Transportation Facility that is designed to partially enclose a harbor and form a landing place for Watercraft.,A Transportation Facility that is designed to extend from the shore into a body of water and serves as a landing place and docking structure for watercraft.,True
https://www.commoncoreontologies.org/ont00000867,Pipeline,A Product Transport Facility that is designed to transport goods or materials through a pipe.,"A Product Transport Facility that is designed to transport liquids, gases, or other materials through a system of connected pipes.",True
https://www.commoncoreontologies.org/ont00000349,Police Station,A Public Safety Facility that is designed for the professional and clerical processes of a local police force.,"A Public Safety Facility that is designed to house the administrative, operational, and detention functions of a municipal or regional police force.",True
https://www.commoncoreontologies.org/ont00001258,Port,A Transportation Facility that is designed to contain harbors for docking Watercraft and for transfering people or cargo to and from land.,A Transportation Facility that is designed to contain harbors for docking watercraft and for transferring people or cargo between watercraft and land.,True
https://www.commoncoreontologies.org/ont00000905,Post Office,A Mailing Facility that is designed for serving customers of the national postal system.,"A Mailing Facility that is designed to serve customers by providing postal services including mail collection, sorting, and distribution as part of a national postal system.",True
https://www.commoncoreontologies.org/ont00000705,Power Transmission Line,A Product Transport Facility that is designed to transmit electricity over distance via a system of above ground wires including their supports.,A Product Transport Facility that is designed to transmit electrical power over distance by means of a system of overhead conductors and their supporting structures.,True
https://www.commoncoreontologies.org/ont00000677,Product Transport Facility,A Facility that is designed to transport some product.,"A Facility that is designed to enable the transportation of manufactured goods, raw materials, or other commercial products from one location to another.",True
https://www.commoncoreontologies.org/ont00000479,Public Safety Facility,"A Facility that is designed for the prevention of and protection from events that could endanger, injure, or damage the general public.","A Facility that is designed to enable the prevention of and protection from events that could endanger the safety, health, or welfare of the general public.",True
https://www.commoncoreontologies.org/ont00000232,Pumping Station,A Product Transport Facility that is designed to pump fluids from one place to another.,A facility that is designed to move fluids from one location to another through the use of pumps or other mechanical devices that create pressure differentials to force fluid flow through a system of pipes or conduits.,True
https://www.commoncoreontologies.org/ont00000664,Radio Relay Station,A Communications Facility that is designed to support the receiving and re-transmitting of radio signals.,A communications facility that is designed to receive radio frequency signals and retransmit them to extend the range or coverage area of radio communication networks.,True
https://www.commoncoreontologies.org/ont00000108,Rail Facility,A Transportation Facility that is designed for transferring people or cargo to and from Trains.,A Transportation Facility that is designed to enable the boarding and alighting of passengers or the loading and unloading of cargo from railway vehicles.,True
https://www.commoncoreontologies.org/ont00001283,Refinery,A Factory that is designed for refining raw materials into products of value.,"A Factory that is designed to process raw materials through purification, separation, or chemical transformation to produce refined products of greater value or utility.",True
https://www.commoncoreontologies.org/ont00000052,Religious Facility,A Facility that is designed for worship and prayer.,A Facility that is designed to enable the performance of religious worship activities and prayer.,True
https://www.commoncoreontologies.org/ont00000957,Reservoir,A Storage Facility that is designed to store water in a man-made open enclosure or area.,A Storage Facility that is designed to store water in an artificial open enclosure or designated area.,True
https://www.commoncoreontologies.org/ont00000410,Residential Facility,A Facility that is designed to house one or more Persons.,A Facility that is designed to provide living accommodations for one or more human beings on a long-term basis.,True
https://www.commoncoreontologies.org/ont00001358,School,An Education Facility that is designed to provide learning space and environments for teaching of students under the direction of teachers.,An education facility that is designed to provide learning spaces and learning environments for the teaching of students under the direction of teachers.,True
https://www.commoncoreontologies.org/ont00000545,Seat of Local Government,A Government Building that is designed for the administration of a local community.,"A Government Building that is designed to house the administrative offices and functions of a local governmental authority such as a municipality, county, or other local jurisdiction.",True
https://www.commoncoreontologies.org/ont00000094,Seat of National Government,A Government Building that is designed for the administration of a sovereign nation.,A Government Building that is designed to house the primary administrative offices and functions of a sovereign nation's central government.,True
https://www.commoncoreontologies.org/ont00001308,Sewage Treatment Facility,"A Waste Management Facility that is designed for removing contaminants from wastewater, especially sewage.","A Waste Management Facility that is designed to remove contaminants from wastewater and sewage through physical, chemical, and biological treatment processes.",True
https://www.commoncoreontologies.org/ont00000262,Shop,A Commercial Facility designed to sell small lots of goods to consumers.,A Commercial Facility that is designed to sell goods in small quantities directly to individual consumers for personal use.,True
https://www.commoncoreontologies.org/ont00000802,Stage,An Entertainment Facility that is designed to provide a space upon which entertaining performances or productions can occur.,"An Entertainment Facility that is designed to provide a designated performance area where actors, musicians, dancers, or other performers present live entertainment to an audience.",True
https://www.commoncoreontologies.org/ont00000881,Storage Facility,A Facility that is designed to store materials or goods.,"A Facility that is designed to house, contain, and preserve materials, goods, or other artifacts for future use or distribution.",True
https://www.commoncoreontologies.org/ont00000757,Synagogue,A Religious Facility that is designed for Judaic worship and prayer.,"A religious facility that is designed to bear the function of facilitating Jewish worship, prayer, and religious instruction.",True
https://www.commoncoreontologies.org/ont00001165,Terrorist Training Camp,A Training Camp designed to teach students methods of terrorism.,"A training camp that is designed to teach students methods, techniques, and tactics for conducting acts of terrorism.",True
https://www.commoncoreontologies.org/ont00000330,Thermal Power Plant,An Electric Power Station that is designed to convert heat energy into electrical energy.,"A facility that is designed to convert thermal energy into electrical energy through the use of heat sources such as fossil fuels, nuclear reactions, or geothermal energy to generate steam or hot gases that drive turbines connected to electrical generators.",True
https://www.commoncoreontologies.org/ont00000332,Training Camp,"A Facility that is designed for rigorous and focused training in order to learn or improve skills, usually involving physical actions.",A Facility that is designed to enable intensive and systematic training activities aimed at developing or enhancing specific skills or capabilities through structured instruction and practice.,True
https://www.commoncoreontologies.org/ont00000226,Transportation Facility,"A Facility that is designed for commencing or concluding the transportation of transportation artifacts, or for housing transportation artifacts.","A Facility that is designed to enable the beginning or ending of transportation processes involving transportation artifacts, or to provide storage or maintenance space for transportation artifacts.",True
https://www.commoncoreontologies.org/ont00000271,Underground Mine,A Mine that is designed to support the extraction of materials from the ground using underground tunnels and shafts.,"A mine that is designed to enable the extraction of materials from subsurface locations through the use of subterranean tunnels, shafts, and chambers.",True
https://www.commoncoreontologies.org/ont00000104,Underwater Mine,A Mine that is designed to support the extraction of materials from the ocean floor.,A facility that is designed to support the extraction of materials from the ocean floor.,True
https://www.commoncoreontologies.org/ont00000375,Warehouse,A Storage Facility that is designed to store commercial goods.,A storage facility that is designed to store large quantities of commercial goods and materials for distribution or sale.,True
https://www.commoncoreontologies.org/ont00001375,Washing Facility,A Facility that is designed to wash personnel or equipment.,A facility that is designed to enable the cleaning of personnel or equipment through the application of water and cleaning agents.,True
https://www.commoncoreontologies.org/ont00001315,Waste Management Facility,A Facility that is designed for managing waste for some portion of the waste's existence.,"A Facility that is designed to collect, process, treat, store, or dispose of waste materials during one or more phases of the waste lifecycle.",True
https://www.commoncoreontologies.org/ont00000708,Water Tower,A Facility that is the bearer of functions realized in processes of storing water in an elevated container.,A Facility that is designed to store water in an elevated container and is the bearer of functions that are realized in processes of storing and distributing water through gravitational pressure.,True
https://www.commoncoreontologies.org/ont00000814,Water Treatment Facility,A Facility that is designed for making water more acceptable for a specific end-use.,"A Facility that is designed to process water through physical, chemical, or biological methods to remove contaminants and improve water quality for a designated end-use purpose.",True
https://www.commoncoreontologies.org/ont00000381,Weapon Manufacturing Facility,A Factory that is designed to produce or assemble weapons.,A manufacturing facility that is designed to produce or assemble weapons.,True
https://www.commoncoreontologies.org/ont00000882,Wind Farm,An Electric Power Station that is designed to convert the wind's kinetic energy into electrical power by means of wind turbines.,An Electric Power Station that is designed to convert kinetic energy from wind into electrical energy by means of multiple wind turbines arranged across a designated area.,True
